,name,min salary,max salary,currency,vac_link,site
101,Швея по пошиву штор,60000,,руб.,https://hh.ru/vacancy/69682581?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
102,Швея,60000,,руб.,https://hh.ru/vacancy/69590436?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
103,Швея-надомница/надомник,70000,90000,руб.,https://hh.ru/vacancy/69537067?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
104,Швея-портной,70000,100000,руб.,https://hh.ru/vacancy/69208942?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
105,Швея-портной,80000,,руб.,https://hh.ru/vacancy/68899559?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
106,Швея,80000,,руб.,https://hh.ru/vacancy/55041440?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
107,Швея,50000,80000,руб.,https://hh.ru/vacancy/69685751?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
108,Швея - портной,50000,,руб.,https://hh.ru/vacancy/69197336?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
109,"Швея-портной, курточные ткани",60000,,руб.,https://hh.ru/vacancy/69562878?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
110,Швея-портной ( м. Кузьминки ),40000,45000,руб.,https://hh.ru/vacancy/68149960?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
111,Швея-портной,70000,100000,руб.,https://hh.ru/vacancy/69594583?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
112,Швея на прямую строчку,50000,100000,руб.,https://hh.ru/vacancy/68779149?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
113,Швея-портной / закройщица (закройщик),,90000,руб.,https://hh.ru/vacancy/69238012?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
114,Швея - мотористка (моторист) / Швея на производство спецодежды,55000,,руб.,https://hh.ru/vacancy/69592842?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
115,Закройщик/специалист по снятию мерок,80000,,руб.,https://hh.ru/vacancy/69630643?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
116,Швея,90000,120000,руб.,https://hh.ru/vacancy/68845868?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
117,Швея-портной,75000,,руб.,https://hh.ru/vacancy/69178710?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
118,Швея в дизайн-студию,80000,,руб.,https://hh.ru/vacancy/69591904?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
119,Швея-портной / швея-мотористка / моторист,,,,https://hh.ru/vacancy/68915767?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
120,Швея (женская одежда),45000,,руб.,https://hh.ru/vacancy/69589865?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
121,Швея по пошиву штор,56000,75000,руб.,https://hh.ru/vacancy/68759585?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
122,Швея-закройщица/закройщик на мягкую мебель,60000,100000,руб.,https://hh.ru/vacancy/69163539?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
123,Портной (швейное производство),60000,70000,руб.,https://hh.ru/vacancy/69528046?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
124,Швея-лаборант,66000,66000,руб.,https://hh.ru/vacancy/69719238?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
125,Швея,75000,150000,руб.,https://hh.ru/vacancy/68893838?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
126,Швея с обучением на пошив ковриков в автомобили,60000,,руб.,https://hh.ru/vacancy/69593702?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
127,Швея-портной,60000,110000,руб.,https://hh.ru/vacancy/69637188?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
128,Швея в швейный цех,65000,100000,руб.,https://hh.ru/vacancy/69534150?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
129,Швея-портной / портная,85000,,руб.,https://hh.ru/vacancy/55475650?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
130,Швея / Закройщик,,,,https://hh.ru/vacancy/69285354?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
131,Швея,60000,100000,руб.,https://hh.ru/vacancy/68808336?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
132,Швея на производство,70000,90000,руб.,https://hh.ru/vacancy/69707391?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
133,Швея на производство,80000,90000,руб.,https://hh.ru/vacancy/69436422?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
134,Швея-портной,65000,100000,руб.,https://hh.ru/vacancy/69101412?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
135,Швея-портной,85000,150000,руб.,https://hh.ru/vacancy/69563514?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
136,Швея (сдельная),40000,90000,руб.,https://hh.ru/vacancy/68832668?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
137,Швея-лаборант,70000,90000,руб.,https://hh.ru/vacancy/69613321?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
138,Швея-портной,70000,150000,руб.,https://hh.ru/vacancy/69484476?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
139,Швея по пошиву штор,45000,,руб.,https://hh.ru/vacancy/69612529?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
140,Швея,42000,55000,руб.,https://hh.ru/vacancy/69290094?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
141,Швея,,80000,руб.,https://hh.ru/vacancy/69575790?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
142,Швея на производство одежды,60000,,руб.,https://hh.ru/vacancy/69586924?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
143,Швея,50000,120000,руб.,https://hh.ru/vacancy/68356642?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
144,Швея (производство мягкой мебели),65000,110000,руб.,https://hh.ru/vacancy/69055617?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
145,Швея по шторам,50000,85000,руб.,https://hh.ru/vacancy/69504167?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
